L3-SW#show ip interface brief 
Interface              IP-Address      OK? Method Status                Protocol
Ethernet0/0            10.1.1.2        YES NVRAM  up                    up      
Ethernet0/1            10.0.0.1        YES NVRAM  up                    up      
Ethernet0/2            unassigned      YES unset  up                    up      
Ethernet0/3            unassigned      YES unset  up                    up      
Ethernet1/0            unassigned      YES unset  up                    up      
Ethernet1/1            unassigned      YES unset  up                    up      
Ethernet1/2            unassigned      YES unset  down                  down    
Ethernet1/3            unassigned      YES unset  down                  down    
Port-channel1          unassigned      YES unset  up                    up      
Port-channel2          unassigned      YES unset  up                    up      
Vlan10                 192.168.10.1    YES NVRAM  up                    up      
Vlan20                 192.168.20.1    YES NVRAM  up                    up      
Vlan30                 192.168.30.1    YES NVRAM  up                    up      
Vlan99                 192.168.99.1    YES NVRAM  up                    up      
